,citynames,cloudiness,humidity,latitude,longitude,max_temps,wind_speeds,country
0,Port Hardy,75,63,50.7,-127.42,-3.0,4.6,CA
1,Iqaluit,75,64,63.75,-68.51,-18.89,5.1,CA
2,Ushuaia,90,87,-54.8,-68.3,12.0,5.7,AR
3,Jamestown,90,84,42.1,-79.24,5.56,4.6,US
4,Puerto Ayora,90,66,-0.74,-90.35,29.0,4.1,EC
5,Kumluca,0,69,36.37,30.29,8.61,1.74,TR
6,Sitka,1,32,57.05,-135.33,-4.0,1.93,US
7,Port Lincoln,0,83,-34.73,135.87,18.46,4.35,AU
8,Arinos,85,67,-15.92,-46.11,27.35,1.31,BR
9,Kapaa,75,78,22.08,-159.32,27.0,9.8,US
10,Rikitea,0,79,-23.12,-134.97,25.5,4.71,PF
11,Bluff,0,59,-46.6,168.33,12.62,0.97,NZ
12,Te Anau,0,80,-45.42,167.72,7.81,0.86,NZ
13,Blackwater,0,72,-23.58,148.88,23.93,5.86,AU
14,Tocopilla,74,35,-22.09,-70.2,20.68,3.8,CL
15,Norman Wells,5,75,65.28,-126.83,-28.0,4.1,CA
16,New Norfolk,75,67,-42.78,147.06,19.44,2.6,AU
17,Roald,94,42,62.58,6.13,8.33,8.2,NO
18,East London,28,83,-33.02,27.91,23.95,5.73,ZA
19,Bakchar,100,93,57.02,82.07,-14.0,4.74,RU
20,Tuktoyaktuk,20,63,69.45,-133.04,-22.0,6.2,CA
21,Castro,100,71,-24.79,-50.01,24.48,0.84,BR
22,Albany,90,86,42.6,-73.97,5.0,1.5,US
23,Cape Town,20,88,-33.93,18.42,22.78,6.2,ZA
24,Bredasdorp,93,82,-34.53,20.04,23.33,4.47,ZA
25,Punta Arenas,75,59,-53.15,-70.92,18.0,8.7,CL
26,Busselton,0,45,-33.65,115.33,18.89,6.28,AU
27,Kronach,93,93,50.24,11.33,3.33,2.76,DE
28,Avarua,51,78,-21.21,-159.78,28.0,7.7,CK
29,Hobart,90,72,-42.88,147.33,18.89,3.1,AU
30,Bengkulu,100,90,-3.8,102.27,22.15,1.52,ID
31,Atuona,19,77,-9.8,-139.03,27.52,7.26,PF
32,Bambous Virieux,40,94,-20.34,57.76,26.67,3.1,MU
33,Vaini,20,79,-21.2,-175.2,29.0,4.1,TO
34,Tiksi,100,93,71.69,128.87,-25.37,2.5,RU
35,Kodiak,20,59,57.79,-152.41,2.78,6.2,US
36,Santiago,0,28,-33.46,-70.65,31.11,4.1,CL
37,Amapa,33,96,1.0,-52.0,24.6,1.23,BR
38,Labuhan,100,93,-6.88,112.21,23.49,1.86,ID
39,Boden,0,75,65.83,21.69,0.0,2.1,SE
40,Pisco,75,30,-13.7,-76.22,22.0,8.2,PE
41,George Town,20,88,5.41,100.34,26.0,1.0,MY
42,Byron Bay,40,73,-28.65,153.62,24.44,3.6,AU
43,Faanui,96,78,-16.48,-151.75,27.05,9.46,PF
44,Dingle,59,93,11.0,122.67,21.97,3.28,PH
45,Vardo,75,85,70.37,31.11,-3.0,3.1,NO
46,Kankan,0,23,10.39,-9.31,24.64,2.27,GN
47,Qaanaaq,0,48,77.48,-69.36,-23.3,2.06,GL
48,Chernyakhovsk,100,81,54.63,21.82,4.24,3.08,RU
49,Flinders,79,68,-34.58,150.86,24.44,0.5,AU
50,Boke,0,64,10.94,-14.3,22.62,0.92,GN
51,Sinnamary,12,80,5.38,-52.95,26.25,5.17,GF
52,Cabo San Lucas,40,53,22.89,-109.91,27.0,2.1,MX
53,Yermakovskoye,100,85,53.28,92.4,-13.0,1.95,RU
54,Longyearbyen,20,77,78.22,15.64,-19.0,2.6,SJ
55,Nome,90,79,64.5,-165.41,-4.0,6.7,US
56,Brownfield,90,10,33.18,-102.27,23.0,8.7,US
57,Tasiilaq,100,45,65.61,-37.64,-4.0,6.2,GL
58,Esperance,90,82,-33.87,121.9,19.0,2.6,AU
59,Okhotsk,0,68,59.38,143.3,-29.21,3.6,RU
60,Ippy,39,16,6.27,21.22,22.68,1.8,CF
61,Guhagar,2,76,17.48,73.19,25.05,4.99,IN
62,Strezhevoy,90,79,60.73,77.59,-7.0,6.0,RU
63,Arraial do Cabo,90,94,-22.97,-42.03,25.0,2.1,BR
64,Naze,20,87,28.37,129.48,12.0,2.1,JP
65,Bagdarin,0,80,54.43,113.6,-26.52,1.05,RU
66,Barrow,75,77,71.29,-156.79,-14.0,4.6,US
67,Belem de Sao Francisco,100,31,-8.75,-38.97,33.46,3.09,BR
68,Ixtapa,5,69,20.7,-105.2,27.22,5.1,MX
69,Rosario,0,43,-32.95,-60.64,33.33,6.2,AR
70,Lompoc,20,62,34.64,-120.46,18.89,8.2,US
71,Champerico,20,46,14.3,-91.92,33.0,4.1,GT
72,Airai,100,90,-8.93,125.41,19.84,0.8,TL
73,Saint-Philippe,33,78,-21.36,55.77,25.0,2.6,RE
74,Pudsey,20,86,53.8,-1.66,7.0,8.7,GB
75,Mahasamund,0,41,21.1,82.1,15.47,1.32,IN
76,Chokurdakh,97,94,70.63,147.92,-27.49,0.95,RU
77,Mataura,0,68,-46.19,168.86,12.68,0.94,NZ
78,Baijiantan,100,84,45.63,85.18,-11.27,0.88,CN
79,Mumford,11,80,5.26,-0.76,26.78,2.01,GH
80,Souillac,40,94,-20.52,57.52,26.67,3.1,MU
81,Cayambe,20,36,0.05,-78.13,24.0,3.1,EC
82,Port Elizabeth,75,94,-33.92,25.57,22.0,5.7,ZA
83,Deputatsky,2,70,69.3,139.9,-30.71,1.71,RU
84,Mount Isa,59,66,-20.73,139.5,29.0,4.6,AU
85,Labytnangi,95,92,66.66,66.42,-13.33,2.94,RU
86,Yellowknife,20,65,62.46,-114.35,-36.67,2.1,CA
87,Kalaiya,0,74,27.03,85.0,12.87,0.28,NP
88,Lagodekhi,0,63,41.83,46.28,0.0,1.46,GE
89,Kloulklubed,90,83,7.04,134.26,27.0,3.6,PW
90,Saskylakh,0,89,71.92,114.08,-24.41,3.79,RU
91,Banda Aceh,79,93,5.56,95.32,22.37,2.02,ID
92,Dikson,100,93,73.51,80.55,-18.66,10.93,RU
93,Lorengau,100,75,-2.02,147.27,29.0,10.88,PG
94,Tuatapere,1,55,-46.13,167.68,13.35,1.22,NZ
95,San Policarpo,33,87,12.18,125.51,25.21,3.19,PH
96,Narsaq,100,50,60.92,-46.05,-13.0,2.1,GL
97,Hay River,75,73,60.82,-115.8,-34.0,4.6,CA
98,Xai-Xai,78,88,-25.05,33.64,24.12,1.8,MZ
99,Port Hueneme,20,59,34.15,-119.2,17.22,2.6,US
100,Ciudad Lazaro Cardenas,55,63,17.96,-102.2,29.18,3.42,MX
101,Butaritari,100,80,3.07,172.79,28.06,5.7,KI
102,Hithadhoo,100,74,-0.6,73.08,27.75,4.83,MV
103,Terney,0,74,45.05,136.61,-16.39,4.12,RU
104,Maiduguri,87,23,11.85,13.16,23.97,3.83,NG
105,Upernavik,100,90,72.79,-56.15,-23.4,3.12,GL
106,Kundiawa,100,98,-6.02,144.97,13.02,0.48,PG
107,Fortuna,20,93,40.6,-124.16,9.0,7.2,US
108,Margherita,0,87,27.28,95.68,12.5,0.78,IN
109,Carnarvon,62,76,-24.87,113.63,26.72,4.01,AU
110,Pevek,100,98,69.7,170.31,-21.21,0.97,RU
111,Sokolka,100,100,53.41,23.5,5.56,3.89,PL
112,Lagos,20,88,6.58,3.75,28.0,1.0,NG
113,Pangnirtung,90,75,66.15,-65.71,-27.0,1.5,CA
114,Nuevo Progreso,100,51,23.17,-97.95,28.89,1.79,MX
115,Alofi,75,70,-19.06,-169.92,29.0,5.7,NU
116,Lebu,2,64,-37.62,-73.65,18.58,5.22,CL
117,Chui,0,58,-33.7,-53.46,22.48,5.56,UY
118,Ponta do Sol,40,63,32.67,-17.1,18.0,3.6,PT
119,Baykit,96,99,61.67,96.37,-22.43,1.27,RU
120,Myanaung,0,64,18.28,95.32,17.02,1.48,MM
121,Leningradskiy,70,93,69.38,178.42,-23.84,4.8,RU
122,Xining,51,75,36.62,101.77,-11.09,2.24,CN
123,Kruisfontein,100,89,-34.0,24.73,20.81,2.3,ZA
124,Saint-Francois,61,60,46.42,3.91,6.0,1.0,FR
125,Pucallpa,69,34,-8.38,-74.55,35.34,2.61,PE
126,Sur,26,68,22.57,59.53,16.97,0.97,OM
127,Mahon,96,71,39.89,4.27,12.0,4.6,ES
128,Sao Filipe,100,72,14.9,-24.5,21.52,6.03,CV
129,Ribeira Grande,75,82,38.52,-28.7,17.0,11.3,PT
130,Severo-Kuril'sk,79,92,50.68,156.12,-6.5,8.07,RU
131,Grindavik,90,65,63.84,-22.43,1.0,17.5,IS
132,Sao Gabriel da Cachoeira,32,86,-0.13,-67.09,27.27,1.04,BR
133,Xudat,0,73,41.63,48.68,0.27,2.18,AZ
134,Kavaratti,4,65,10.57,72.64,27.43,2.94,IN
135,Kenai,90,85,60.55,-151.26,-8.33,3.6,US
136,The Valley,40,69,18.22,-63.06,26.11,7.7,AI
137,Tigil,100,80,57.8,158.67,-6.35,1.85,RU
138,Denpasar,20,88,-8.65,115.22,28.0,2.6,ID
139,Ternate,40,92,0.8,127.4,23.2,1.52,ID
140,Gravelbourg,100,94,49.88,-106.55,-23.87,4.16,CA
141,Yerbogachen,100,96,61.28,108.01,-23.33,3.14,RU
142,Torbay,20,66,47.67,-52.73,-8.89,7.2,CA
143,Mossamedes,100,81,-15.2,12.15,23.52,4.93,AO
144,Port Alfred,65,93,-33.59,26.89,22.78,2.68,ZA
145,Siyabuswa,100,84,-25.11,29.04,20.55,3.49,ZA
146,Columbia,75,93,34.0,-81.03,22.0,1.95,US
147,Vanimo,100,76,-2.67,141.3,28.31,8.16,PG
148,Bonavista,93,68,48.65,-53.11,-9.44,7.15,CA
149,Guasdualito,20,46,7.24,-70.73,32.0,2.1,VE
150,Meulaboh,89,75,4.14,96.13,27.59,1.93,ID
151,Kindia,0,41,10.06,-12.87,23.62,1.25,GN
152,Shimoda,4,70,34.67,138.95,3.33,15.04,JP
153,Henties Bay,10,88,-22.12,14.28,18.89,1.34,NA
154,Hasaki,40,93,35.73,140.83,3.0,1.5,JP
155,Hong Kong,20,72,22.29,114.16,18.33,4.6,HK
156,Aykhal,86,83,66.0,111.5,-24.0,1.0,RU
157,Port-Cartier,90,59,50.03,-66.87,-14.44,3.6,CA
158,Udachny,0,83,66.42,112.4,-24.0,1.0,RU
159,San Patricio,5,74,19.22,-104.7,29.0,3.1,MX
160,Mount Gambier,40,77,-37.83,140.77,18.0,4.6,AU
161,Znamenskoye,100,93,57.13,73.83,-10.22,5.27,RU
162,Saldanha,11,95,-33.01,17.94,18.85,7.07,ZA
163,Port Blair,0,73,11.67,92.75,25.86,4.43,IN
164,Krasnyy Chikoy,68,99,50.36,108.75,-24.91,0.6,RU
165,Touros,20,78,-5.2,-35.46,27.0,3.6,BR
166,Talcahuano,10,72,-36.72,-73.12,19.0,7.2,CL
167,Codrington,0,85,-38.27,141.97,17.17,4.81,AU
168,Hermanus,32,82,-34.42,19.23,23.33,4.47,ZA
169,College,90,77,64.86,-147.8,-18.0,0.9,US
170,Hilo,100,100,19.73,-155.09,24.44,0.45,US
171,Maniitsoq,100,81,65.42,-52.9,-12.44,4.61,GL
172,Cidreira,13,67,-30.18,-50.21,23.31,5.9,BR
173,Ismailia,1,79,30.6,32.27,12.68,4.29,EG
174,Bhandaria,0,56,22.49,90.06,15.56,1.85,BD
175,Voyvozh,100,93,62.89,54.96,-10.53,4.7,RU
176,Tsaratanana,100,88,-16.78,47.65,22.12,1.54,MG
177,Klaksvik,100,87,62.23,-6.59,6.0,13.9,FO
178,Muscat,20,59,23.61,58.59,17.0,3.1,OM
179,Samana,40,78,19.21,-69.34,27.0,6.2,DO
180,Lanxi,100,86,29.22,119.48,6.12,0.49,CN
181,Barabai,91,90,-2.58,115.38,22.99,0.38,ID
182,Mar del Plata,67,77,-38.0,-57.56,20.56,7.2,AR
183,Brooks,100,75,50.58,-111.89,-23.89,3.13,CA
184,Auchi,0,44,7.07,6.27,28.5,2.2,NG
185,Pokaran,0,66,26.92,71.92,12.77,1.14,IN
186,Manicore,100,96,-5.81,-61.3,24.85,1.64,BR
187,Saint George,1,34,37.1,-113.58,11.0,1.23,US
188,Brae,100,87,60.4,-1.35,8.0,17.0,GB
189,Pimentel,8,29,-6.84,-79.93,19.0,9.8,PE
190,Caiaponia,100,82,-16.96,-51.81,26.05,0.94,BR
191,Merke,100,97,42.87,73.18,-5.57,0.65,KZ
192,Sobolevo,100,95,54.43,31.9,0.72,2.73,RU
193,Flin Flon,75,76,54.77,-101.86,-23.0,1.5,CA
194,Inta,100,94,66.03,60.17,-18.47,2.79,RU
195,Nikolskoye,90,74,59.7,30.79,3.0,5.0,RU
196,Tungor,99,89,53.38,142.96,-20.18,7.79,RU
197,Pacific Grove,1,54,36.62,-121.92,14.0,2.6,US
198,Areia Branca,20,74,-4.96,-37.14,29.0,5.7,BR
199,Ribeira Brava,40,63,32.65,-17.07,18.0,3.6,PT
200,Hofn,100,93,64.25,-15.21,1.16,26.0,IS
201,Linxia,83,74,35.6,103.21,-7.89,0.77,CN
202,Stornoway,94,75,58.21,-6.39,8.0,20.1,GB
203,Islamkot,0,43,24.7,70.18,14.74,4.17,PK
204,Bathsheba,75,78,13.22,-59.52,25.0,6.7,BB
205,Lavrentiya,2,82,65.58,-171.0,-13.47,6.61,RU
206,Kovernino,100,86,57.13,43.81,-1.0,3.8,RU
207,Chauk,0,64,20.88,94.82,18.35,0.37,MM
208,Araouane,33,28,18.9,-3.53,13.92,5.45,ML
209,Brigantine,75,81,39.41,-74.36,10.56,2.1,US
210,Myitkyina,0,74,25.38,97.4,11.48,1.44,MM
211,Petropavlovsk-Kamchatsky,90,100,53.05,158.65,-1.0,3.0,RU
212,Marsh Harbour,2,79,26.54,-77.06,24.25,9.37,BS
213,Rundu,100,100,-17.93,19.77,22.0,1.0,NA
214,Jefferson City,90,93,38.58,-92.17,3.0,6.2,US
215,Thompson,90,77,55.74,-97.86,-15.0,2.1,CA
216,Gao,26,11,16.64,1.64,17.39,5.59,ML
217,Beloha,2,79,-25.17,45.05,23.68,3.32,MG
218,Velsk,53,94,61.07,42.1,-4.15,2.76,RU
219,Srednekolymsk,100,98,67.45,153.68,-26.26,2.54,RU
220,Vao,100,82,-22.67,167.48,25.0,9.7,NC
221,Auki,100,76,-8.77,160.7,29.55,10.72,SB
222,Taoudenni,0,31,22.68,-3.98,12.98,5.02,ML
223,Lichinga,100,95,-13.31,35.24,21.34,1.26,MZ
224,Khatanga,0,89,71.97,102.5,-25.22,3.0,RU
225,Hamilton,1,66,39.18,-84.53,10.0,1.5,US
226,Sakaiminato,75,70,35.55,133.23,7.0,4.6,JP
227,Tiznit,0,52,29.58,-9.5,11.2,1.01,MA
228,Kalmunai,94,63,7.42,81.82,26.36,6.11,LK
229,High Level,75,68,58.52,-117.14,-28.0,7.2,CA
230,Anadyr,0,71,64.75,177.48,-13.0,3.0,RU
231,Vaitape,96,78,-16.52,-151.75,27.05,9.46,PF
232,Coaraci,20,78,-14.64,-39.55,28.0,2.6,BR
233,Saint Anthony,90,73,45.02,-93.22,-2.0,5.7,US
234,Lata,75,76,40.16,-8.33,11.67,2.6,PT
235,Isangel,75,70,-19.55,169.27,30.0,6.2,VU
236,Bandarbeyla,94,78,9.49,50.81,24.12,10.14,SO
237,Bilibino,100,98,68.05,166.44,-29.26,1.35,RU
238,Bloomingdale,40,57,27.89,-82.24,28.89,2.1,US
239,Waipawa,43,67,-41.41,175.52,18.33,7.7,NZ
240,Saint-Joseph,37,78,-21.37,55.62,25.0,2.6,RE
241,Skibbereen,75,75,51.55,-9.27,5.0,8.7,IE
242,Shingu,0,70,33.73,135.98,7.06,2.94,JP
243,Qarqin,0,76,37.42,66.04,1.25,3.07,AF
244,Kavieng,100,81,-2.57,150.8,28.2,9.9,PG
245,Mastic Beach,90,93,40.77,-72.85,8.33,3.74,US
246,Borazjan,0,62,29.27,51.22,13.0,0.49,IR
247,Salekhard,95,92,66.53,66.6,-13.33,2.94,RU
248,Kieta,74,79,-6.22,155.63,27.28,3.21,PG
249,Huarmey,2,54,-10.07,-78.15,26.14,3.85,PE
250,Kaitangata,0,69,-46.28,169.85,14.44,3.58,NZ
251,Igarka,100,92,67.47,86.58,-16.09,9.88,RU
252,Yar-Sale,94,95,66.83,70.83,-11.17,3.16,RU
253,Beringovskiy,0,74,63.05,179.32,-6.75,7.24,RU
254,Moranbah,37,81,-22.0,148.05,23.45,6.16,AU
255,Nhulunbuy,100,88,-12.23,136.77,28.0,1.5,AU
256,Uinskoye,99,94,56.88,56.58,-2.82,4.77,RU
257,El Bagre,78,52,7.59,-74.81,32.55,2.51,CO
258,Ugoofaaru,87,64,5.67,73.0,27.49,4.32,MV
259,Karratha,50,79,-20.74,116.85,29.41,8.98,AU
260,Kudahuvadhoo,100,79,2.67,72.89,27.4,6.01,MV
261,Sibolga,89,96,1.74,98.78,21.62,1.13,ID
262,Havelock,90,88,34.88,-76.9,21.11,3.1,US
263,Pravia,100,41,43.49,-6.15,16.0,5.1,ES
264,Jiexiu,0,63,37.02,111.91,-12.5,0.95,CN
265,Rabo de Peixe,75,82,37.8,-25.58,17.0,11.3,PT
266,Mweka,100,72,-4.85,21.57,24.58,0.68,CD
267,Namatanai,100,68,-3.67,152.43,28.93,4.41,PG
268,Neepawa,90,71,50.23,-99.47,-14.0,4.6,CA
269,Galesong,20,100,-5.32,119.37,24.0,0.5,ID
270,Provideniya,75,79,64.38,-173.3,-7.0,11.0,RU
271,Kaeo,1,75,-35.1,173.78,26.11,2.74,NZ
272,Puerto Ayacucho,20,49,5.66,-67.62,32.0,5.1,VE
273,Lubango,54,89,-14.92,13.49,15.89,0.66,AO
274,Kahului,40,58,20.89,-156.47,28.0,8.2,US
275,Abu Samrah,58,78,35.3,37.18,8.8,2.49,SY
276,Ketchikan,1,37,55.34,-131.65,-5.0,4.1,US
277,Makakilo City,90,69,21.35,-158.09,26.0,4.6,US
278,Kyabram,10,28,-36.32,145.05,26.11,4.15,AU
279,Dunedin,0,75,-45.87,170.5,10.85,2.42,NZ
280,Xocali,0,66,39.91,46.79,3.37,1.86,AZ
281,Matay,32,46,28.42,30.78,11.24,3.89,EG
282,Esim,0,80,4.87,-2.24,26.28,2.41,GH
283,Podgornoye,90,86,51.73,39.15,1.0,3.0,RU
284,Sao Felix do Xingu,4,87,-6.64,-51.99,26.39,1.34,BR
285,Kurtamysh,100,92,54.91,64.43,-7.13,6.7,RU
286,Teahupoo,75,74,-17.83,-149.27,28.0,1.0,PF
287,Valentin Gomez Farias,100,12,28.22,-106.58,24.44,2.24,MX
288,Zakamensk,0,88,50.37,103.29,-24.82,1.18,RU
289,Ereymentau,100,93,51.62,73.1,-13.95,8.75,KZ
290,Rajgarh,0,87,28.63,75.38,9.24,2.64,IN
291,Birao,0,18,10.28,22.79,18.92,4.62,CF
292,Novyy Urengoy,100,93,66.08,76.63,-10.35,7.02,RU
293,Novovarshavka,87,89,54.17,74.69,-13.33,7.27,RU
294,Comodoro Rivadavia,75,35,-45.87,-67.5,32.0,1.5,AR
295,Burnie,27,82,-41.07,145.92,12.78,1.34,AU
296,Caravelas,0,87,-17.71,-39.25,26.72,7.03,BR
297,Talikota,0,44,16.48,76.32,20.49,1.97,IN
298,Puruliya,0,47,23.33,86.37,14.62,0.78,IN
299,Geraldton,90,88,-28.77,114.6,22.0,5.7,AU
300,Sioux Lookout,75,78,50.1,-91.92,-7.0,2.6,CA
301,Yumen,93,54,40.28,97.2,-7.82,8.49,CN
302,Kumul,100,42,42.8,93.45,-6.75,1.16,CN
303,Santa Fe,2,36,-31.63,-60.7,35.0,4.02,AR
304,Ola,30,81,59.58,151.28,-20.63,3.21,RU
305,Nyurba,97,95,63.28,118.33,-17.54,3.01,RU
306,Boma,0,58,7.08,-2.17,26.21,0.82,GH
307,Sept-Iles,90,59,50.2,-66.38,-14.44,3.6,CA
308,Shache,94,97,38.42,77.24,-4.75,0.48,CN
309,Erzin,0,93,36.96,36.2,5.0,2.6,TR
310,Kitimat,20,59,54.05,-128.65,-13.89,10.3,CA
311,Ilinskiy,75,92,55.62,38.12,0.0,3.0,RU
312,Cap Malheureux,40,94,-19.98,57.61,26.67,3.1,MU
313,Reconquista,35,29,-29.15,-59.65,38.18,5.31,AR
314,Cibitoke Province,4,92,-2.88,29.25,14.79,1.46,BI
315,Noumea,75,65,-22.28,166.46,28.0,4.6,NC
316,Mahebourg,40,94,-20.41,57.7,26.67,3.1,MU
317,Yeppoon,56,65,-23.13,150.73,27.0,5.1,AU
318,Balkhash,0,86,46.84,74.98,-13.32,2.63,KZ
319,Akureyri,90,92,65.68,-18.09,-1.0,5.1,IS
320,Guane,0,73,22.2,-84.09,26.5,8.93,CU
321,Mayumba,32,79,-3.43,10.66,28.09,4.39,GA
322,San Blas,40,33,21.52,-105.27,30.0,3.6,MX
323,Mecca,16,21,21.43,39.83,16.95,0.65,SA
324,Inhambane,54,77,-23.86,35.38,27.2,6.5,MZ
325,Yulara,29,19,-25.24,130.99,30.0,4.6,AU
326,Bubaque,0,59,11.28,-15.83,26.65,4.42,GW
327,Lahat,77,94,-3.8,103.53,18.83,1.31,ID
328,Yangi Marg`ilon,90,74,40.43,71.72,0.0,1.0,UZ
329,Kokopo,100,79,-4.35,152.26,27.83,6.17,PG
330,Mana,11,93,5.66,-53.78,24.87,1.17,GF
331,Hobyo,33,74,5.35,48.53,25.42,9.41,SO
332,San Isidro,0,78,-12.12,-77.05,23.0,4.6,PE
333,Hvolsvollur,100,95,63.75,-20.22,-0.56,10.73,IS
334,Kifri,48,83,34.7,44.97,7.62,7.05,IQ
335,Goderich,100,82,43.75,-81.72,1.67,0.89,CA
336,Bethel,90,93,41.37,-73.41,7.22,1.5,US
337,Zhigansk,100,96,66.77,123.37,-25.19,7.14,RU
338,Vestmannaeyjar,100,57,63.44,-20.27,2.97,13.83,IS
339,Senanga,87,87,-16.12,23.27,21.09,0.81,ZM
340,Ampanihy,99,69,-24.7,44.75,25.56,2.92,MG
341,Lixouri,4,61,38.2,20.43,14.56,2.47,GR
342,Lodja,91,79,-3.48,23.43,22.21,0.57,CD
343,Rawson,68,54,-43.3,-65.1,23.0,15.1,AR
344,Mitzic,100,79,0.78,11.55,23.45,0.81,GA
345,Zafra,78,76,38.42,-6.42,7.22,0.45,ES
346,Erenhot,0,81,43.65,111.98,-15.29,4.68,CN
347,Gboko,0,20,7.32,9.0,29.42,0.9,NG
348,Young,0,47,-32.68,-57.63,32.22,1.79,UY
349,Fairbanks,90,77,64.84,-147.72,-18.33,0.77,US
350,Camacha,40,67,33.08,-16.33,18.0,4.6,PT
351,Sao Joao da Barra,75,74,-21.64,-41.05,27.0,6.2,BR
352,Honningsvag,90,92,70.98,25.97,-1.0,12.9,NO
353,Paamiut,10,61,61.99,-49.67,-10.54,7.95,GL
354,Coquimbo,75,77,-29.95,-71.34,17.0,5.1,CL
355,Busko-Zdroj,100,76,50.47,20.72,3.89,0.45,PL
356,Kant,30,67,27.8,79.8,13.05,1.38,IN
357,Sun Valley,90,30,39.6,-119.78,12.78,6.7,US
358,Constitucion,39,71,-35.33,-72.42,18.12,6.88,CL
359,Ranong,0,83,9.97,98.63,24.99,1.86,TH
360,Nar'yan-Mar,20,89,67.67,53.09,-17.52,3.46,RU
361,Machico,40,63,32.7,-16.77,18.0,3.6,PT
362,Fort Nelson,5,67,58.81,-122.7,-30.0,1.5,CA
363,Damoh,0,53,23.83,79.45,15.68,1.45,IN
364,Ilulissat,100,71,69.22,-51.1,-15.0,6.7,GL
365,Moshenskoye,100,88,58.51,34.59,-0.16,4.92,RU
366,San Luis,84,37,-33.3,-66.34,34.4,4.69,AR
367,Kununurra,76,88,-15.77,128.73,25.0,2.6,AU
368,Ossora,100,95,59.24,163.07,-8.96,2.22,RU
369,Qandala,13,70,11.47,49.87,21.78,0.4,SO
370,Gizo,99,85,-8.1,156.84,26.43,6.3,SB
371,Port Hedland,75,79,-20.32,118.57,30.0,4.6,AU
372,Egvekinot,100,99,66.32,-179.17,-22.43,0.76,RU
373,Am Timan,1,16,11.03,20.28,19.41,2.35,TD
374,Thunder Bay,90,85,48.4,-89.32,-4.44,3.1,CA
375,Viedma,67,46,-40.81,-63.0,23.98,8.52,AR
376,Santa Maria,0,55,-29.68,-53.81,30.0,5.7,BR
